Nodes,Algorithm,Cost,Time (s),Memory (MB)
107,Christofides,627.68,0.57,2.56
124,Twice-Around-the-Tree,799.89,0.35,3.23
124,Christofides,698.68,0.35,3.09
136,Twice-Around-the-Tree,1322.6,0.25,3.67
136,Christofides,992.0,0.89,3.74
144,Twice-Around-the-Tree,764.12,0.32,4.09
144,Christofides,739.75,0.37,4.09
152,Twice-Around-the-Tree,718.54,0.5,4.69
152,Christofides,686.96,0.35,4.55
226,Twice-Around-the-Tree,820.75,1.13,10.66
226,Christofides,735.57,1.85,10.66
264,Twice-Around-the-Tree,959.46,1.43,14.44
264,Christofides,785.42,2.48,14.3
299,Twice-Around-the-Tree,1593.81,1.53,18.28
299,Christofides,1334.81,5.54,18.26
439,Twice-Around-the-Tree,1362.67,4.09,42.52
439,Christofides,1106.31,12.53,42.68
1002,Twice-Around-the-Tree,2732.73,18.28,220.48
1002,Christofides,2314.33,190.3,220.48
2392,Twice-Around-the-Tree,4471.05,110.72,1227.61
2392,Christofides,,,
